Instagram 155.0.0.37.107 Android (29/10; 320dpi; 720x1280; Xiaomi; Redmi Note 7; lavender; qcom; en_US)
Instagram 158.0.0.37.106 Android (30/10; 360dpi; 1080x2340; Samsung; Galaxy A52; a52; exynos; en_US)
Instagram 154.0.0.37.106 Android (29/10; 320dpi; 1080x2340; OPPO; A53s 5G; CPH2135; qcom; en_US)
Instagram 156.0.0.37.107 Android (30/10; 480dpi; 1440x3040; Samsung; Galaxy S20; lte; exynos; en_US)
Instagram 152.0.0.37.106 Android (29/10; 320dpi; 1080x2340; OnePlus; 8T; interstellar; qcom; en_US)
Instagram 157.0.0.37.108 Android (29/10; 400dpi; 1080x2400; Vivo; V21e; PD2107F; mediatek; en_US)
Instagram 153.0.0.37.106 Android (29/10; 320dpi; 1080x2280; Motorola; Moto G60; guacamole; qcom; en_US)
Instagram 159.0.0.37.108 Android (30/10; 360dpi; 1080x2340; Xiaomi; Mi 10; umi; qcom; en_US)
Instagram 161.0.0.37.107 Android (30/10; 420dpi; 1440x3120; Huawei; P40 Pro; Elisa; kirin; en_US)
Instagram 155.0.0.37.107 Android (29/10; 280dpi; 750x1334; POCO; X3 Pro; Vayu; qcom; en_US)
Instagram 160.0.0.37.107 Android (29/10; 320dpi; 1080x2400; OPPO; F19 Pro; CPH2219; mediatek; en_US)
Instagram 156.0.0.37.107 Android (29/10; 480dpi; 1440x3200; Samsung; Galaxy S21; p6xl; exynos; en_US)
Instagram 157.0.0.37.106 Android (30/10; 360dpi; 1080x2340; Xiaomi; Redmi Note 10; mojito; qcom; en_US)
Instagram 154.0.0.37.106 Android (29/10; 320dpi; 1080x2400; OPPO; Reno 5 Pro 5G; CPH2201; mediatek; en_US)
Instagram 153.0.0.37.106 Android (29/10; 280dpi; 720x1600; Realme; Narzo 50A; RMX3430; mediatek; en_US)
Instagram 158.0.0.37.107 Android (30/10; 320dpi; 1080x2400; Vivo; Y73; PD2059F; mediatek; en_US)
Instagram 161.0.0.37.108 Android (29/10; 400dpi; 1080x2340; OnePlus; 9R; martini; qcom; en_US)
Instagram 159.0.0.37.106 Android (30/10; 420dpi; 1440x3120; Huawei; Mate 40 Pro; NOH-AN00; kirin; en_US)
Instagram 157.0.0.37.108 Android (30/10; 360dpi; 1080x2400; POCO; X3 NFC; surya; qcom; en_US)
Instagram 160.0.0.37.107 Android (29/10; 320dpi; 1080x2340; Samsung; Galaxy M32; a32; exynos; en_US)
Instagram 155.0.0.37.107 Android (30/10; 360dpi; 1080x2400; Realme; 8 Pro; RMX3081; snapdragon; en_US)
Instagram 152.0.0.37.106 Android (29/10; 320dpi; 1080x2400; Xiaomi; Mi 11X Pro; alioth; qcom; en_US)
Instagram 158.0.0.37.107 Android (30/10; 420dpi; 1080x2400; Oppo; Find X3 Pro; CPH2173; snapdragon; en_US)
Instagram 156.0.0.37.107 Android (29/10; 400dpi; 1440x3040; Vivo; V21; PD2106F; mediatek; en_US)
Instagram 155.0.0.37.106 Android (30/10; 320dpi; 1080x2400; Xiaomi; Poco F3; alioth; qcom; en_US)
Instagram 157.0.0.37.108 Android (30/10; 400dpi; 1080x2340; Realme; X7 Max; RMX3031; mediatek; en_US)
Instagram 153.0.0.37.106 Android (29/10; 280dpi; 1080x2400; Samsung; Galaxy M21; m21; exynos; en_US)
Instagram 161.0.0.37.107 Android (30/10; 360dpi; 1080x2400; OnePlus; 8 Pro; instantnoodle; qcom; en_US)
Instagram 154.0.0.37.107 Android (29/10; 320dpi; 1080x2340; Huawei; Nova 8i; HWI-N03; kirin; en_US)
Instagram 155.0.0.37.107 Android (30/10; 320dpi; 1080x2340; Realme; Narzo 30 Pro; RMX2161; mediatek; en_US)
Instagram 159.0.0.37.106 Android (29/10; 480dpi; 1440x3200; Samsung; Galaxy Note 20 Ultra; codenamed_r; exynos; en_US)
Instagram 161.0.0.37.108 Android (29/10; 360dpi; 1080x2340; Xiaomi; Redmi K40; alioth; qcom; en_US)
Instagram 156.0.0.37.107 Android (30/10; 400dpi; 1080x2340; OPPO; F17 Pro; CPH2119; mediatek; en_US)
Instagram 160.0.0.37.107 Android (29/10; 420dpi; 1080x2400; Realme; X50 Pro; RMX2076; snapdragon; en_US)
Instagram 159.0.0.37.106 Android (30/10; 320dpi; 1080x2340; POCO; M2 Pro; gram; qcom; en_US)
Instagram 155.0.0.37.107 Android (30/10; 360dpi; 1080x2400; OPPO; Reno 6 Pro 5G; CPH2247; mediatek; en_US)
Instagram 158.0.0.37.106 Android (29/10; 320dpi; 1080x2340; Vivo; Y53s; PD2079F; mediatek; en_US)
Instagram 156.0.0.37.107 Android (30/10; 400dpi; 1080x2400; Xiaomi; Mi 11 Lite; peach; qcom; en_US)
Instagram 153.0.0.37.106 Android (29/10; 320dpi; 1080x2400; OPPO; Reno 6 5G; CPH2231; mediatek; en_US)
Instagram 160.0.0.37.107 Android (30/10; 360dpi; 1080x2400; OnePlus; 9 Pro; volt; qcom; en_US)
Instagram 157.0.0.37.108 Android (29/10; 320dpi; 1080x2400; Xiaomi; Mi 11; alioth; qcom; en_US)
Instagram 155.0.0.37.107 Android (29/10; 360dpi; 1080x2340; Huawei; P30 Pro; L29; kirin; en_US)
Instagram 159.0.0.37.106 Android (29/10; 320dpi; 1080x2400; Motorola; Moto G100; Nio; qcom; en_US)
Instagram 160.0.0.37.107 Android (30/10; 400dpi; 1080x2400; Samsung; Galaxy Z Flip3; clover; exynos; en_US)
Instagram 157.0.0.37.106 Android (29/10; 320dpi; 1080x2400; OnePlus; Nord 2; ebba; mediatek; en_US)
Instagram 153.0.0.37.106 Android (29/10; 400dpi; 1080x2400; Vivo; V20 Pro; PD2032F; mediatek; en_US)
Instagram 159.0.0.37.106 Android (30/10; 320dpi; 1080x2400; Realme; X3 SuperZoom; RMX2081; qcom; en_US)
Instagram 156.0.0.37.107 Android (30/10; 360dpi; 1080x2400; Xiaomi; Mi 11X; alioth; qcom; en_US)
Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 251.8.4.73 (iPhone12,1; iOS 14_8; en_US; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19H12 Instagram 306.1.2.53 (iPhone15,3; iOS 18_0; pt_BR; scale=3.00; 1290x2796)
Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A5307e Instagram 278.3.3.36 (iPhone13,2; iOS 17_5; de_DE; scale=3.00; 1170x2532)
Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 351.8.1.13 (iPhone14,5; iOS 16_6; tr_TR; scale=3.00; 1170x2532)
Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A5307e Instagram 359.8.5.26 (iPhone11,8; iOS 15_7; it_IT; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 377.3.6.58 (iPhone12,1; iOS 14_8; en_GB; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19H12 Instagram 343.4.1.45 (iPhone16,2; iOS 18_0; es_ES; scale=3.00; 1179x2556)
Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20G75 Instagram 285.9.8.10 (iPhone15,2; iOS 17_5; fr_FR; scale=3.00; 1179x2556)
Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 369.7.4.4 (iPhone13,4; iOS 16_6; en_US; scale=3.00; 1284x2778)
Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 234.6.0.23 (iPhone14,3; iOS 15_7; ru_RU; scale=3.00; 1284x2778)
Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 321.9.8.52 (iPhone12,1; iOS 14_8; hi_IN; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20G75 Instagram 330.4.0.57 (iPhone16,1; iOS 18_0; it_IT; scale=3.00; 1179x2556)
Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A5307e Instagram 354.2.2.79 (iPhone15,3; iOS 17_5; en_US; scale=3.00; 1290x2796)
Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19H12 Instagram 282.2.2.31 (iPhone14,5; iOS 16_6; es_ES; scale=3.00; 1170x2532)
Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20G75 Instagram 311.5.9.90 (iPhone11,8; iOS 15_7; pt_BR; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20G75 Instagram 376.1.1.45 (iPhone12,1; iOS 14_8; de_DE; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A5307e Instagram 291.7.9.65 (iPhone15,2; iOS 18_0; en_GB; scale=3.00; 1179x2556)
Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 408.5.6.71 (iPhone13,2; iOS 17_5; fr_FR; scale=3.00; 1170x2532)
Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A5307e Instagram 275.2.0.1 (iPhone13,4; iOS 16_6; en_US; scale=3.00; 1284x2778)
Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19H12 Instagram 246.4.5.47 (iPhone14,3; iOS 15_7; tr_TR; scale=3.00; 1284x2778)
Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 404.9.8.18 (iPhone12,1; iOS 14_8; ru_RU; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 356.8.3.82 (iPhone16,1; iOS 18_0; it_IT; scale=3.00; 1179x2556)
Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19H12 Instagram 258.8.7.51 (iPhone15,3; iOS 17_5; es_ES; scale=3.00; 1290x2796)
Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20G75 Instagram 296.6.5.20 (iPhone14,5; iOS 16_6; en_GB; scale=3.00; 1170x2532)
Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A5307e Instagram 295.2.5.52 (iPhone11,8; iOS 15_7; fr_FR; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19H12 Instagram 380.4.1.40 (iPhone12,1; iOS 14_8; pt_BR; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 405.1.0.62 (iPhone16,2; iOS 18_0; hi_IN; scale=3.00; 1179x2556)
Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 264.8.5.92 (iPhone15,2; iOS 17_5; en_US; scale=3.00; 1179x2556)
Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A5307e Instagram 345.4.6.60 (iPhone13,2; iOS 16_6; de_DE; scale=3.00; 1170x2532)
Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20G75 Instagram 313.5.8.38 (iPhone13,4; iOS 15_7; ru_RU; scale=3.00; 1284x2778)
Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 278.6.5.19 (iPhone11,8; iOS 14_8; tr_TR; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19H12 Instagram 417.7.7.13 (iPhone16,1; iOS 18_0; es_ES; scale=3.00; 1179x2556)
Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A5307e Instagram 313.8.0.89 (iPhone15,3; iOS 17_5; it_IT; scale=3.00; 1290x2796)
Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 352.6.1.68 (iPhone14,5; iOS 16_6; de_DE; scale=3.00; 1170x2532)
Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A5307e Instagram 316.1.3.32 (iPhone11,8; iOS 15_7; fr_FR; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20G75 Instagram 404.4.6.39 (iPhone12,1; iOS 14_8; en_GB; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 289.4.3.7 (iPhone16,2; iOS 18_0; ru_RU; scale=3.00; 1179x2556)
Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19H12 Instagram 404.6.3.61 (iPhone15,2; iOS 17_5; pt_BR; scale=3.00; 1179x2556)
Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A5307e Instagram 243.8.7.41 (iPhone13,2; iOS 16_6; hi_IN; scale=3.00; 1170x2532)
Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 230.8.7.6 (iPhone13,4; iOS 15_7; es_ES; scale=3.00; 1284x2778)
Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 324.2.0.66 (iPhone12,1; iOS 14_8; de_DE; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 18_0_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22A5307e Instagram 351.6.2.6 (iPhone15,3; iOS 18_0; en_US; scale=3.00; 1290x2796)
Mozilla/5.0 (iPhone; CPU iPhone OS 17_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 291.6.6.65 (iPhone16,1; iOS 17_5; it_IT; scale=3.00; 1179x2556)
Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/19H12 Instagram 357.4.5.54 (iPhone14,3; iOS 16_6; fr_FR; scale=3.00; 1284x2778)
Mozilla/5.0 (iPhone; CPU iPhone OS 15_7_8 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/16G77 Instagram 241.5.1.23 (iPhone11,8; iOS 15_7; en_GB; scale=2.00; 828x1792)
Mozilla/5.0 (iPhone; CPU iPhone OS 14_8_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20G75 Instagram 400.4.2.54 (iPhone12,1; iOS 14_8; it_IT; scale=2.00; 828x1792)
